seed,condition,buffer_size,label_coverage,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,mean_doubt,mean_curiosity,mean_egogate
15,doubt,40,5,3,11,12,9,5,0,0,0,0,0,0.09179626405239105,0.16878828406333923,5.971655368804932
15,curiosity,40,5,3,11,13,8,5,0,0,0,0,0,0.09095431864261627,0.16950933635234833,5.947936058044434
15,egogate,40,5,3,12,12,9,4,0,0,0,0,0,0.09168653190135956,0.16913935542106628,5.972640037536621
15,embedding_kcenter,40,5,8,9,5,5,13,0,0,0,0,0,0.027694398537278175,0.05495554953813553,1.4904062747955322
15,egogate_diverse,40,5,8,10,7,6,9,0,0,0,0,0,0.03990679234266281,0.05273411422967911,1.9650557041168213
15,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009012982249259949,0.010150103829801083,1.0596381549987655e-08
16,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
16,random,40,5,7,6,12,9,6,0,0,0,0,0,0.00891957525163889,0.01185394637286663,0.04280726984143257
16,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.005493038799613714,0.0018795530777424574,-0.28901657462120056
16,doubt,40,5,3,11,13,8,5,0,0,0,0,0,0.09127601236104965,0.15536680817604065,6.208993911743164
16,curiosity,40,5,3,11,13,8,5,0,0,0,0,0,0.0906231701374054,0.15594832599163055,6.19243860244751
16,egogate,40,5,3,11,13,8,5,0,0,0,0,0,0.09117210656404495,0.1557396948337555,6.211629867553711
16,embedding_kcenter,40,5,3,14,8,6,9,0,0,0,0,0,0.016385238617658615,0.009178653359413147,0.3068659007549286
16,egogate_diverse,40,5,5,12,10,4,9,0,0,0,0,0,0.03865611180663109,0.04746348410844803,1.9644775390625
16,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009014464914798737,0.009364734403789043,1.0596381549987655e-08
17,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
17,random,40,5,7,7,5,6,15,0,0,0,0,0,0.008821559138596058,0.008248640224337578,-0.025815140455961227
17,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.01079300232231617,0.006947451736778021,0.03175492212176323
17,doubt,40,5,3,10,11,8,8,0,0,0,0,0,0.09139548242092133,0.15178751945495605,6.1637372970581055
17,curiosity,40,5,3,9,11,9,8,0,0,0,0,0,0.09099330753087997,0.15251627564430237,6.16083288192749
17,egogate,40,5,3,9,11,8,9,0,0,0,0,0,0.09117071330547333,0.1523248702287674,6.164595603942871
